Métrique,Moyenne,Médiane,Min,Max
Erreur abs. PD (MW),6.778,5.146,1.451,12.376
Erreur abs. NOMAD (MW),6.778,5.146,1.451,12.376
Temps PD (s),0.025,0.022,0.019,0.039
Temps NOMAD (s),11.692,8.056,6.848,31.598
Itérations NOMAD,111.27,85.0,70.0,277.0
