Métrique,Moyenne,Médiane,Min,Max
Erreur abs. PD (MW),9.088,9.566,4.291,12.097
Erreur abs. NOMAD (MW),8.963,9.538,4.291,12.007
Temps PD (s),0.032,0.03,0.025,0.051
Temps NOMAD (s),11.567,11.519,11.04,15.572
Itérations NOMAD,155.0,155.0,155.0,155.0
