ligne,puissance_reel,p_pd,p_nomad,diff_pd,diff_nomad,nb_iter,t_pd,t_nomad,nb_turbines,nb_actives_pd,convergence
0,179.17374710083007,190.07472576517364,189.66364506350465,10.900978664343569,10.489897962674576,80,0.027593399994657375,6.540420299999823,5,4,"[(1, 179.0457974334), (3, 179.7989245787), (11, 180.2183720041), (16, 180.285173334), (18, 180.6727925662), (25, 180.6952849507), (28, 180.9511590604), (34, 181.746945053), (36, 181.7722340467), (37, 181.9303229483), (39, 182.0982008684), (46, 182.099198383), (49, 182.2412387315), (52, 182.2794311866), (53, 182.3464675014), (54, 182.9781270994), (57, 183.3279941515), (58, 184.2897163452), (59, 185.2423017403), (60, 186.5353984495), (64, 187.2680349001), (65, 188.8674180231), (80, 189.6636450635)]"
1,179.50035888671874,190.01946957011648,188.89731226714525,10.519110683397741,9.39695338042651,80,0.03290500000002794,6.334254399997008,5,4,"[(1, 178.9929477458), (3, 179.746028074), (11, 180.165273292), (16, 180.2324907952), (18, 180.620176077), (25, 180.642544132), (28, 180.898254376), (34, 181.6929655766), (36, 181.7182786106), (37, 181.8754062986), (39, 182.0429966999), (46, 182.0450183434), (49, 182.1868752008), (52, 182.2251357176), (53, 182.2915843734), (54, 182.9233222884), (57, 183.2736166913), (58, 184.2352997497), (59, 185.1876946923), (60, 186.4804426466), (64, 187.2138366277), (65, 188.8130009052), (80, 188.8973122671)]"
2,179.12560611724854,190.01946957011648,188.89731226714525,10.893863452867947,9.771706149896715,80,0.031734700001834426,5.862086000001,5,4,"[(1, 178.9929477458), (3, 179.746028074), (11, 180.165273292), (16, 180.2324907952), (18, 180.620176077), (25, 180.642544132), (28, 180.898254376), (34, 181.6929655766), (36, 181.7182786106), (37, 181.8754062986), (39, 182.0429966999), (46, 182.0450183434), (49, 182.1868752008), (52, 182.2251357176), (53, 182.2915843734), (54, 182.9233222884), (57, 183.2736166913), (58, 184.2352997497), (59, 185.1876946923), (60, 186.4804426466), (64, 187.2138366277), (65, 188.8130009052), (80, 188.8973122671)]"
3,179.50732151031494,190.01946957011648,188.89731226714525,10.512148059801547,9.389990756830315,80,0.03237450000597164,5.80432610000571,5,4,"[(1, 178.9929477458), (3, 179.746028074), (11, 180.165273292), (16, 180.2324907952), (18, 180.620176077), (25, 180.642544132), (28, 180.898254376), (34, 181.6929655766), (36, 181.7182786106), (37, 181.8754062986), (39, 182.0429966999), (46, 182.0450183434), (49, 182.1868752008), (52, 182.2251357176), (53, 182.2915843734), (54, 182.9233222884), (57, 183.2736166913), (58, 184.2352997497), (59, 185.1876946923), (60, 186.4804426466), (64, 187.2138366277), (65, 188.8130009052), (80, 188.8973122671)]"
4,178.30390533447266,188.72854480995176,188.51453727865947,10.424639475479097,10.210631944186815,80,0.03311789999861503,6.107012100001157,5,4,"[(1, 177.2796754929), (3, 177.9152253204), (11, 178.2969853042), (14, 178.3253407743), (16, 178.5187693941), (18, 178.8190079813), (22, 178.8298533001), (25, 179.0251385796), (29, 180.0179854511), (35, 180.1051787322), (38, 180.3920851836), (39, 180.690923272), (44, 180.8111588546), (45, 180.960499058), (48, 181.976922822), (49, 183.7618010901), (52, 184.4896593361), (53, 186.8590941367), (75, 188.5145372787), (80, 188.5145372787)]"
5,178.724086227417,188.72854480995176,188.51453727865947,10.004458582534767,9.790451051242485,80,0.030604699997638818,5.853788300002634,5,4,"[(1, 177.2796754929), (3, 177.9152253204), (11, 178.2969853042), (14, 178.3253407743), (16, 178.5187693941), (18, 178.8190079813), (22, 178.8298533001), (25, 179.0251385796), (29, 180.0179854511), (35, 180.1051787322), (38, 180.3920851836), (39, 180.690923272), (44, 180.8111588546), (45, 180.960499058), (48, 181.976922822), (49, 183.7618010901), (52, 184.4896593361), (53, 186.8590941367), (75, 188.5145372787), (80, 188.5145372787)]"
6,179.2677744293213,189.96413231687058,188.77656393409507,10.696357887549283,9.508789504773773,80,0.033796700001403224,6.150278200002504,5,4,"[(1, 178.9399819517), (3, 179.6930194625), (11, 180.1120719432), (16, 180.1796902932), (18, 180.5674484884), (25, 180.5896926095), (28, 180.8452433496), (34, 181.638889051), (36, 181.6642289492), (37, 181.8204056308), (39, 181.9877100364), (46, 181.9907452183), (49, 182.1324214206), (52, 182.1707475502), (53, 182.2366164613), (54, 182.8684326346), (57, 183.21914966), (58, 184.1807942774), (59, 185.1330046745), (60, 186.4254081209), (64, 187.1595509799), (65, 188.7584978482), (71, 188.7765639341), (80, 188.7765639341)]"
7,178.0424252319336,188.67344351766823,188.20664098831313,10.631018285734626,10.16421575637952,80,0.03770929999882355,6.1279949999952805,5,4,"[(1, 177.2272745855), (3, 177.8628188507), (11, 178.2444082685), (14, 178.2734306576), (16, 178.4665387226), (18, 178.7668639415), (22, 178.777031437), (25, 178.9723291521), (29, 179.9643195164), (35, 180.050470183), (38, 180.3378905844), (39, 180.6373060815), (44, 180.7562901321), (45, 180.9055536844), (48, 181.9232711151), (49, 183.7082673413), (52, 184.4336764697), (53, 186.8025863281), (65, 187.6527643552), (69, 188.2066409883), (80, 188.2066409883)]"
8,176.70497261047365,185.9986744352854,178.72777248053174,9.293701824811762,2.022799870058094,80,0.029886700001952704,6.202797900004953,5,4,"[(1, 173.3126451187), (3, 174.4382278939), (5, 174.5651941604), (11, 175.3779556245), (30, 175.513633231), (31, 175.6324255452), (33, 175.8939012112), (35, 176.0866913264), (36, 176.4396807012), (38, 176.7590362893), (39, 176.924925742), (61, 177.1395858579), (62, 177.4002471088), (77, 177.8096471544), (78, 178.7277724805), (80, 178.7277724805)]"
9,176.70668937683106,187.33920964540192,185.88023768851127,10.632520268570858,9.173548311680207,80,0.03099610000208486,6.165244200004963,5,4,"[(1, 174.9068506801), (3, 176.2028681742), (5, 176.3626651527), (11, 177.2431933995), (25, 177.3023116397), (31, 177.8191048294), (33, 178.3579986302), (34, 179.9323981382), (35, 184.8982460283), (37, 185.4064817167), (67, 185.8802376885), (80, 185.8802376885)]"
